Instrument:,NH3-211205141,,,,
Name:,Biosolids Dewatering,,,,
Time Zone Offset (Minutes):,-300,,,,
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\NH3-211205141_4_22_2022, 7_27_14 AM --- 4_29_2022, 9_12_14 AM.acrudata",,,,
Session ID:,39018,,,,
Session 1st Title:,"NH3-211205141_4_22_2022, 7_27_14 AM --- 4_29_2022, 9_12_14 AM",,,,
Session Start:,"4/22/2022, 6:27:14 AM",,,,
Session End:,"4/29/2022, 8:12:14 AM",,,,
,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"4/22/2022, 6:27:14 AM",3.644,71.4,42.3,0,2022-04-22T11:27:14.000Z
"4/22/2022, 6:30:14 AM",3.646,72.3,42.5,0,2022-04-22T11:30:14.000Z
"4/22/2022, 6:33:14 AM",3.646,72.3,42.6,0,2022-04-22T11:33:14.000Z
"4/22/2022, 6:36:14 AM",3.648,72.3,42.6,0,2022-04-22T11:36:14.000Z
"4/22/2022, 6:39:14 AM",3.648,72.1,42.6,0,2022-04-22T11:39:14.000Z
"4/22/2022, 6:42:14 AM",3.648,72.1,42.6,0,2022-04-22T11:42:14.000Z
"4/22/2022, 6:45:14 AM",3.648,72,42.6,0,2022-04-22T11:45:14.000Z
"4/22/2022, 6:48:14 AM",3.649,71.8,42.6,0,2022-04-22T11:48:14.000Z
"4/22/2022, 6:51:14 AM",3.652,71.2,42.6,0,2022-04-22T11:51:14.000Z
"4/22/2022, 6:54:14 AM",3.647,70.7,42.7,2,2022-04-22T11:54:14.000Z
"4/22/2022, 6:57:14 AM",3.648,70.3,43.2,3,2022-04-22T11:57:14.000Z
"4/22/2022, 7:00:14 AM",3.648,70.3,43.8,4,2022-04-22T12:00:14.000Z
"4/22/2022, 7:03:14 AM",3.648,70.3,44.4,4,2022-04-22T12:03:14.000Z
"4/22/2022, 7:06:14 AM",3.648,70.5,45.1,4,2022-04-22T12:06:14.000Z
"4/22/2022, 7:09:14 AM",3.647,70.5,45.8,5,2022-04-22T12:09:14.000Z
"4/22/2022, 7:12:14 AM",3.647,70.5,46.5,5,2022-04-22T12:12:14.000Z
"4/22/2022, 7:15:14 AM",3.647,70.5,47.2,6,2022-04-22T12:15:14.000Z
"4/22/2022, 7:18:14 AM",3.647,70.5,47.8,6,2022-04-22T12:18:14.000Z
"4/22/2022, 7:21:14 AM",3.647,70.5,48.4,6,2022-04-22T12:21:14.000Z
"4/22/2022, 7:24:14 AM",3.647,70.5,49,6,2022-04-22T12:24:14.000Z
"4/22/2022, 7:27:14 AM",3.647,70.3,49.6,6,2022-04-22T12:27:14.000Z
"4/22/2022, 7:30:14 AM",3.647,70.3,50.1,6,2022-04-22T12:30:14.000Z
"4/22/2022, 7:33:14 AM",3.647,70.5,50.6,6,2022-04-22T12:33:14.000Z
"4/22/2022, 7:36:14 AM",3.647,70.7,51.1,7,2022-04-22T12:36:14.000Z
"4/22/2022, 7:39:14 AM",3.647,70.7,51.5,7,2022-04-22T12:39:14.000Z
"4/22/2022, 7:42:14 AM",3.647,70.9,52,7,2022-04-22T12:42:14.000Z
"4/22/2022, 7:45:14 AM",3.647,71.1,52.4,7,2022-04-22T12:45:14.000Z
"4/22/2022, 7:48:14 AM",3.647,71.1,52.8,8,2022-04-22T12:48:14.000Z
"4/22/2022, 7:51:14 AM",3.647,71.2,53.2,7,2022-04-22T12:51:14.000Z
"4/22/2022, 7:54:14 AM",3.647,71.2,53.6,7,2022-04-22T12:54:14.000Z
"4/22/2022, 7:57:14 AM",3.647,71.2,54,7,2022-04-22T12:57:14.000Z
"4/22/2022, 8:00:14 AM",3.647,71.2,54.3,7,2022-04-22T13:00:14.000Z
"4/22/2022, 8:03:14 AM",3.647,71.2,54.7,7,2022-04-22T13:03:14.000Z
"4/22/2022, 8:06:14 AM",3.647,71.2,55,7,2022-04-22T13:06:14.000Z
"4/22/2022, 8:09:14 AM",3.647,71.2,55.3,7,2022-04-22T13:09:14.000Z
"4/22/2022, 8:12:14 AM",3.647,71.2,55.6,7,2022-04-22T13:12:14.000Z
"4/22/2022, 8:15:14 AM",3.647,71.2,55.9,7,2022-04-22T13:15:14.000Z
"4/22/2022, 8:18:14 AM",3.647,71.2,56.2,7,2022-04-22T13:18:14.000Z
"4/22/2022, 8:21:14 AM",3.647,71.2,56.4,7,2022-04-22T13:21:14.000Z
"4/22/2022, 8:24:14 AM",3.646,71.4,56.7,7,2022-04-22T13:24:14.000Z
"4/22/2022, 8:27:14 AM",3.647,71.4,57,7,2022-04-22T13:27:14.000Z
"4/22/2022, 8:30:14 AM",3.647,71.8,57.3,7,2022-04-22T13:30:14.000Z
"4/22/2022, 8:33:14 AM",3.647,72,57.6,7,2022-04-22T13:33:14.000Z
"4/22/2022, 8:36:14 AM",3.647,72.1,57.8,7,2022-04-22T13:36:14.000Z
"4/22/2022, 8:39:14 AM",3.647,72.3,58.1,7,2022-04-22T13:39:14.000Z
"4/22/2022, 8:42:14 AM",3.647,72.7,58.3,7,2022-04-22T13:42:14.000Z
"4/22/2022, 8:45:14 AM",3.647,72.9,58.6,7,2022-04-22T13:45:14.000Z
"4/22/2022, 8:48:14 AM",3.647,73,58.9,8,2022-04-22T13:48:14.000Z
"4/22/2022, 8:51:14 AM",3.647,73.4,59.2,8,2022-04-22T13:51:14.000Z
"4/22/2022, 8:54:14 AM",3.647,73.6,59.4,8,2022-04-22T13:54:14.000Z
"4/22/2022, 8:57:14 AM",3.647,73.8,59.7,8,2022-04-22T13:57:14.000Z
"4/22/2022, 9:00:14 AM",3.647,73.9,59.9,8,2022-04-22T14:00:14.000Z
"4/22/2022, 9:03:14 AM",3.647,74.1,60.2,8,2022-04-22T14:03:14.000Z
"4/22/2022, 9:06:14 AM",3.647,74.3,60.3,8,2022-04-22T14:06:14.000Z
"4/22/2022, 9:09:14 AM",3.647,74.5,60.6,9,2022-04-22T14:09:14.000Z
"4/22/2022, 9:12:14 AM",3.647,74.8,60.9,9,2022-04-22T14:12:14.000Z
"4/22/2022, 9:15:14 AM",3.647,75.2,61.1,10,2022-04-22T14:15:14.000Z
"4/22/2022, 9:18:14 AM",3.647,75.6,61.3,10,2022-04-22T14:18:14.000Z
"4/22/2022, 9:21:14 AM",3.647,75.7,61.6,10,2022-04-22T14:21:14.000Z
"4/22/2022, 9:24:14 AM",3.647,75.9,61.8,10,2022-04-22T14:24:14.000Z
"4/22/2022, 9:27:14 AM",3.647,76.3,62.1,11,2022-04-22T14:27:14.000Z
"4/22/2022, 9:30:14 AM",3.647,76.5,62.3,11,2022-04-22T14:30:14.000Z
"4/22/2022, 9:33:14 AM",3.647,76.8,62.6,11,2022-04-22T14:33:14.000Z
"4/22/2022, 9:36:14 AM",3.647,77.2,62.8,11,2022-04-22T14:36:14.000Z
"4/22/2022, 9:39:14 AM",3.647,77.4,63,11,2022-04-22T14:39:14.000Z
"4/22/2022, 9:42:14 AM",3.646,77.7,63.2,11,2022-04-22T14:42:14.000Z
"4/22/2022, 9:45:14 AM",3.647,78.1,63.5,12,2022-04-22T14:45:14.000Z
"4/22/2022, 9:48:14 AM",3.646,78.3,63.7,12,2022-04-22T14:48:14.000Z
"4/22/2022, 9:51:14 AM",3.647,78.4,63.9,12,2022-04-22T14:51:14.000Z
"4/22/2022, 9:54:14 AM",3.647,78.6,64.1,12,2022-04-22T14:54:14.000Z
"4/22/2022, 9:57:14 AM",3.646,78.8,64.3,13,2022-04-22T14:57:14.000Z
"4/22/2022, 10:00:14 AM",3.647,79,64.5,13,2022-04-22T15:00:14.000Z
"4/22/2022, 10:03:14 AM",3.646,79.2,64.7,13,2022-04-22T15:03:14.000Z
"4/22/2022, 10:06:14 AM",3.646,79.2,64.9,14,2022-04-22T15:06:14.000Z
"4/22/2022, 10:09:14 AM",3.647,79.3,65.1,13,2022-04-22T15:09:14.000Z
"4/22/2022, 10:12:14 AM",3.646,79.5,65.3,14,2022-04-22T15:12:14.000Z
"4/22/2022, 10:15:14 AM",3.647,79.5,65.4,14,2022-04-22T15:15:14.000Z
"4/22/2022, 10:18:14 AM",3.646,79.7,65.6,14,2022-04-22T15:18:14.000Z
"4/22/2022, 10:21:14 AM",3.646,79.9,65.8,15,2022-04-22T15:21:14.000Z
"4/22/2022, 10:24:14 AM",3.647,79.9,66,15,2022-04-22T15:24:14.000Z
"4/22/2022, 10:27:14 AM",3.647,80.1,66.2,15,2022-04-22T15:27:14.000Z
"4/22/2022, 10:30:14 AM",3.647,80.2,66.3,16,2022-04-22T15:30:14.000Z
"4/22/2022, 10:33:14 AM",3.647,80.1,66.4,16,2022-04-22T15:33:14.000Z
"4/22/2022, 10:36:14 AM",3.647,80.2,66.6,16,2022-04-22T15:36:14.000Z
"4/22/2022, 10:39:14 AM",3.647,80.2,66.8,16,2022-04-22T15:39:14.000Z
"4/22/2022, 10:42:14 AM",3.647,80.2,66.9,16,2022-04-22T15:42:14.000Z
"4/22/2022, 10:45:14 AM",3.647,80.4,67.1,16,2022-04-22T15:45:14.000Z
"4/22/2022, 10:48:14 AM",3.647,80.4,67.2,16,2022-04-22T15:48:14.000Z
"4/22/2022, 10:51:14 AM",3.647,80.4,67.3,16,2022-04-22T15:51:14.000Z
"4/22/2022, 10:54:14 AM",3.647,80.4,67.5,16,2022-04-22T15:54:14.000Z
"4/22/2022, 10:57:14 AM",3.647,80.4,67.6,16,2022-04-22T15:57:14.000Z
"4/22/2022, 11:00:14 AM",3.647,80.4,67.7,16,2022-04-22T16:00:14.000Z
"4/22/2022, 11:03:14 AM",3.648,80.4,67.8,17,2022-04-22T16:03:14.000Z
"4/22/2022, 11:06:14 AM",3.648,80.4,68,17,2022-04-22T16:06:14.000Z
"4/22/2022, 11:09:14 AM",3.647,80.6,68,17,2022-04-22T16:09:14.000Z
"4/22/2022, 11:12:14 AM",3.647,80.6,68.1,17,2022-04-22T16:12:14.000Z
"4/22/2022, 11:15:14 AM",3.647,80.8,68.3,17,2022-04-22T16:15:14.000Z
"4/22/2022, 11:18:14 AM",3.647,81,68.4,18,2022-04-22T16:18:14.000Z
"4/22/2022, 11:21:14 AM",3.647,81.1,68.5,17,2022-04-22T16:21:14.000Z
"4/22/2022, 11:24:14 AM",3.647,81.1,68.6,17,2022-04-22T16:24:14.000Z
"4/22/2022, 11:27:14 AM",3.647,81.3,68.7,17,2022-04-22T16:27:14.000Z
"4/22/2022, 11:30:14 AM",3.647,81.5,68.9,17,2022-04-22T16:30:14.000Z
"4/22/2022, 11:33:14 AM",3.648,81.7,68.9,17,2022-04-22T16:33:14.000Z
"4/22/2022, 11:36:14 AM",3.647,81.9,69.1,17,2022-04-22T16:36:14.000Z
"4/22/2022, 11:39:14 AM",3.648,82,69.1,18,2022-04-22T16:39:14.000Z
"4/22/2022, 11:42:14 AM",3.648,82.2,69.3,17,2022-04-22T16:42:14.000Z
"4/22/2022, 11:45:14 AM",3.648,82.2,69.3,16,2022-04-22T16:45:14.000Z
"4/22/2022, 11:48:14 AM",3.648,82.4,69.4,17,2022-04-22T16:48:14.000Z
"4/22/2022, 11:51:14 AM",3.647,82.6,69.5,17,2022-04-22T16:51:14.000Z
"4/22/2022, 11:54:14 AM",3.647,82.8,69.6,16,2022-04-22T16:54:14.000Z
"4/22/2022, 11:57:14 AM",3.648,82.9,69.7,16,2022-04-22T16:57:14.000Z
"4/22/2022, 12:00:14 PM",3.647,82.9,69.8,16,2022-04-22T17:00:14.000Z
"4/22/2022, 12:03:14 PM",3.647,83.1,69.8,16,2022-04-22T17:03:14.000Z
"4/22/2022, 12:06:14 PM",3.648,83.3,69.9,16,2022-04-22T17:06:14.000Z
"4/22/2022, 12:09:14 PM",3.648,83.5,70,16,2022-04-22T17:09:14.000Z
"4/22/2022, 12:12:14 PM",3.647,83.7,70,17,2022-04-22T17:12:14.000Z
"4/22/2022, 12:15:14 PM",3.647,84,70.1,17,2022-04-22T17:15:14.000Z
"4/22/2022, 12:18:14 PM",3.647,84,70.2,17,2022-04-22T17:18:14.000Z
"4/22/2022, 12:21:14 PM",3.648,84.2,70.3,17,2022-04-22T17:21:14.000Z
"4/22/2022, 12:24:14 PM",3.647,84.6,70.3,17,2022-04-22T17:24:14.000Z
"4/22/2022, 12:27:14 PM",3.648,84.6,70.4,17,2022-04-22T17:27:14.000Z
"4/22/2022, 12:30:14 PM",3.648,84.9,70.5,19,2022-04-22T17:30:14.000Z
"4/22/2022, 12:33:14 PM",3.648,85.1,70.5,19,2022-04-22T17:33:14.000Z
"4/22/2022, 12:36:14 PM",3.648,85.3,70.6,20,2022-04-22T17:36:14.000Z
"4/22/2022, 12:39:14 PM",3.649,85.5,70.7,20,2022-04-22T17:39:14.000Z
"4/22/2022, 12:42:14 PM",3.649,85.6,70.8,19,2022-04-22T17:42:14.000Z
"4/22/2022, 12:45:14 PM",3.651,85.6,70.7,11,2022-04-22T17:45:14.000Z
"4/22/2022, 12:48:14 PM",3.652,85.6,70.7,15,2022-04-22T17:48:14.000Z
"4/22/2022, 12:51:14 PM",3.651,85.6,70.7,15,2022-04-22T17:51:14.000Z
"4/22/2022, 12:54:14 PM",3.652,85.6,70.7,16,2022-04-22T17:54:14.000Z
"4/22/2022, 12:57:14 PM",3.652,85.6,70.8,17,2022-04-22T17:57:14.000Z
"4/22/2022, 1:00:14 PM",3.651,85.6,70.8,17,2022-04-22T18:00:14.000Z
"4/22/2022, 1:03:14 PM",3.651,85.6,70.9,19,2022-04-22T18:03:14.000Z
"4/22/2022, 1:06:14 PM",3.652,85.8,71,19,2022-04-22T18:06:14.000Z
"4/22/2022, 1:09:14 PM",3.652,86,71,18,2022-04-22T18:09:14.000Z
"4/22/2022, 1:12:14 PM",3.652,86,71.1,18,2022-04-22T18:12:14.000Z
"4/22/2022, 1:15:14 PM",3.652,86.2,71.2,18,2022-04-22T18:15:14.000Z
"4/22/2022, 1:18:14 PM",3.652,86.2,71.2,19,2022-04-22T18:18:14.000Z
"4/22/2022, 1:21:14 PM",3.652,86.4,71.3,18,2022-04-22T18:21:14.000Z
"4/22/2022, 1:24:14 PM",3.652,86.5,71.3,19,2022-04-22T18:24:14.000Z
"4/22/2022, 1:27:14 PM",3.652,86.7,71.4,19,2022-04-22T18:27:14.000Z
"4/22/2022, 1:30:14 PM",3.652,86.7,71.5,19,2022-04-22T18:30:14.000Z
"4/22/2022, 1:33:14 PM",3.652,86.9,71.5,19,2022-04-22T18:33:14.000Z
"4/22/2022, 1:36:14 PM",3.652,87.1,71.6,17,2022-04-22T18:36:14.000Z
"4/22/2022, 1:39:14 PM",3.652,87.3,71.6,15,2022-04-22T18:39:14.000Z
"4/22/2022, 1:42:14 PM",3.652,87.3,71.5,17,2022-04-22T18:42:14.000Z
"4/22/2022, 1:45:14 PM",3.652,87.3,71.6,17,2022-04-22T18:45:14.000Z
"4/22/2022, 1:48:14 PM",3.652,87.4,71.5,17,2022-04-22T18:48:14.000Z
"4/22/2022, 1:51:14 PM",3.652,87.4,71.5,17,2022-04-22T18:51:14.000Z
"4/22/2022, 1:54:14 PM",3.652,87.6,71.5,15,2022-04-22T18:54:14.000Z
"4/22/2022, 1:57:14 PM",3.652,87.6,71.5,15,2022-04-22T18:57:14.000Z
"4/22/2022, 2:00:14 PM",3.652,87.6,71.5,17,2022-04-22T19:00:14.000Z
"4/22/2022, 2:03:14 PM",3.652,87.8,71.4,14,2022-04-22T19:03:14.000Z
"4/22/2022, 2:06:14 PM",3.653,87.8,71.4,15,2022-04-22T19:06:14.000Z
"4/22/2022, 2:09:14 PM",3.652,87.8,71.3,17,2022-04-22T19:09:14.000Z
"4/22/2022, 2:12:14 PM",3.652,88,71.4,14,2022-04-22T19:12:14.000Z
"4/22/2022, 2:15:14 PM",3.652,88,71.3,15,2022-04-22T19:15:14.000Z
"4/22/2022, 2:18:14 PM",3.652,88.2,71.3,14,2022-04-22T19:18:14.000Z
"4/22/2022, 2:21:14 PM",3.652,88.2,71.2,13,2022-04-22T19:21:14.000Z
"4/22/2022, 2:24:14 PM",3.652,88.3,71.1,13,2022-04-22T19:24:14.000Z
"4/22/2022, 2:27:14 PM",3.652,88.3,71,12,2022-04-22T19:27:14.000Z
"4/22/2022, 2:30:14 PM",3.652,88.5,70.9,13,2022-04-22T19:30:14.000Z
"4/22/2022, 2:33:14 PM",3.653,88.5,70.9,13,2022-04-22T19:33:14.000Z
"4/22/2022, 2:36:14 PM",3.653,88.5,70.8,13,2022-04-22T19:36:14.000Z
"4/22/2022, 2:39:14 PM",3.652,88.7,70.7,11,2022-04-22T19:39:14.000Z
"4/22/2022, 2:42:14 PM",3.652,88.7,70.6,11,2022-04-22T19:42:14.000Z
"4/22/2022, 2:45:14 PM",3.652,88.7,70.5,13,2022-04-22T19:45:14.000Z
"4/22/2022, 2:48:14 PM",3.652,88.7,70.4,12,2022-04-22T19:48:14.000Z
"4/22/2022, 2:51:14 PM",3.652,88.9,70.3,12,2022-04-22T19:51:14.000Z
"4/22/2022, 2:54:14 PM",3.653,88.9,70.2,11,2022-04-22T19:54:14.000Z
"4/22/2022, 2:57:14 PM",3.653,88.9,70.1,11,2022-04-22T19:57:14.000Z
"4/22/2022, 3:00:14 PM",3.653,88.9,70,11,2022-04-22T20:00:14.000Z
"4/22/2022, 3:03:14 PM",3.653,88.9,69.9,9,2022-04-22T20:03:14.000Z
"4/22/2022, 3:06:14 PM",3.652,89.1,69.7,11,2022-04-22T20:06:14.000Z
"4/22/2022, 3:09:14 PM",3.653,89.1,69.6,11,2022-04-22T20:09:14.000Z
"4/22/2022, 3:12:14 PM",3.652,89.1,69.5,12,2022-04-22T20:12:14.000Z
"4/22/2022, 3:15:14 PM",3.653,89.2,69.4,10,2022-04-22T20:15:14.000Z
"4/22/2022, 3:18:14 PM",3.652,89.2,69.3,10,2022-04-22T20:18:14.000Z
"4/22/2022, 3:21:14 PM",3.652,89.2,69.2,10,2022-04-22T20:21:14.000Z
"4/22/2022, 3:24:14 PM",3.653,89.2,69.1,10,2022-04-22T20:24:14.000Z
"4/22/2022, 3:27:14 PM",3.652,89.4,69,9,2022-04-22T20:27:14.000Z
"4/22/2022, 3:30:14 PM",3.653,89.4,68.9,9,2022-04-22T20:30:14.000Z
"4/22/2022, 3:33:14 PM",3.653,89.4,68.7,8,2022-04-22T20:33:14.000Z
"4/22/2022, 3:36:14 PM",3.653,89.4,68.6,10,2022-04-22T20:36:14.000Z
"4/22/2022, 3:39:14 PM",3.653,89.4,68.5,10,2022-04-22T20:39:14.000Z
"4/22/2022, 3:42:14 PM",3.653,89.4,68.5,10,2022-04-22T20:42:14.000Z
"4/22/2022, 3:45:14 PM",3.653,89.4,68.3,9,2022-04-22T20:45:14.000Z
"4/22/2022, 3:48:14 PM",3.653,89.4,68.2,9,2022-04-22T20:48:14.000Z
"4/22/2022, 3:51:14 PM",3.652,89.4,68.1,11,2022-04-22T20:51:14.000Z
"4/22/2022, 3:54:14 PM",3.653,89.4,68.1,10,2022-04-22T20:54:14.000Z
"4/22/2022, 3:57:14 PM",3.653,89.4,68,10,2022-04-22T20:57:14.000Z
"4/22/2022, 4:00:14 PM",3.653,89.4,67.9,9,2022-04-22T21:00:14.000Z
"4/22/2022, 4:03:14 PM",3.653,89.4,67.7,9,2022-04-22T21:03:14.000Z
"4/22/2022, 4:06:14 PM",3.653,89.4,67.6,10,2022-04-22T21:06:14.000Z
"4/22/2022, 4:09:14 PM",3.654,89.2,67.6,10,2022-04-22T21:09:14.000Z
"4/22/2022, 4:12:14 PM",3.654,89.1,67.5,9,2022-04-22T21:12:14.000Z
"4/22/2022, 4:15:14 PM",3.653,88.9,67.4,9,2022-04-22T21:15:14.000Z
"4/22/2022, 4:18:14 PM",3.653,88.9,67.3,9,2022-04-22T21:18:14.000Z
"4/22/2022, 4:21:14 PM",3.654,88.7,67.2,9,2022-04-22T21:21:14.000Z
"4/22/2022, 4:24:14 PM",3.654,88.5,67.2,10,2022-04-22T21:24:14.000Z
"4/22/2022, 4:27:14 PM",3.654,88.3,67.1,12,2022-04-22T21:27:14.000Z
"4/22/2022, 4:30:14 PM",3.654,88.2,67,12,2022-04-22T21:30:14.000Z
"4/22/2022, 4:33:14 PM",3.654,88,67,13,2022-04-22T21:33:14.000Z
"4/22/2022, 4:36:14 PM",3.654,87.8,67,14,2022-04-22T21:36:14.000Z
"4/22/2022, 4:39:14 PM",3.654,87.6,67.1,14,2022-04-22T21:39:14.000Z
"4/22/2022, 4:42:14 PM",3.654,87.4,67.2,15,2022-04-22T21:42:14.000Z
"4/22/2022, 4:45:14 PM",3.654,87.4,67.3,17,2022-04-22T21:45:14.000Z
"4/22/2022, 4:48:14 PM",3.654,87.3,67.5,15,2022-04-22T21:48:14.000Z
"4/22/2022, 4:51:14 PM",3.654,87.1,67.7,17,2022-04-22T21:51:14.000Z
"4/22/2022, 4:54:14 PM",3.654,87.1,67.8,18,2022-04-22T21:54:14.000Z
"4/22/2022, 4:57:14 PM",3.654,86.9,68,18,2022-04-22T21:57:14.000Z
"4/22/2022, 5:00:14 PM",3.654,86.7,68.2,18,2022-04-22T22:00:14.000Z
"4/22/2022, 5:03:14 PM",3.654,86.5,68.3,19,2022-04-22T22:03:14.000Z
"4/22/2022, 5:06:14 PM",3.654,86.5,68.5,18,2022-04-22T22:06:14.000Z
"4/22/2022, 5:09:14 PM",3.655,86.4,68.6,20,2022-04-22T22:09:14.000Z
"4/22/2022, 5:12:14 PM",3.655,86.2,68.7,18,2022-04-22T22:12:14.000Z
"4/22/2022, 5:15:14 PM",3.655,86,68.8,18,2022-04-22T22:15:14.000Z
"4/22/2022, 5:18:14 PM",3.655,85.8,68.9,18,2022-04-22T22:18:14.000Z
"4/22/2022, 5:21:14 PM",3.655,85.6,69,16,2022-04-22T22:21:14.000Z
"4/22/2022, 5:24:14 PM",3.655,85.3,69.1,19,2022-04-22T22:24:14.000Z
"4/22/2022, 5:27:14 PM",3.655,85.1,69.2,19,2022-04-22T22:27:14.000Z
"4/22/2022, 5:30:14 PM",3.655,85.1,69.3,17,2022-04-22T22:30:14.000Z
"4/22/2022, 5:33:14 PM",3.655,84.9,69.4,19,2022-04-22T22:33:14.000Z
"4/22/2022, 5:36:14 PM",3.655,84.7,69.5,17,2022-04-22T22:36:14.000Z
"4/22/2022, 5:39:14 PM",3.655,84.6,69.7,18,2022-04-22T22:39:14.000Z
"4/22/2022, 5:42:14 PM",3.655,84.4,69.8,18,2022-04-22T22:42:14.000Z
"4/22/2022, 5:45:14 PM",3.655,84.4,69.9,18,2022-04-22T22:45:14.000Z
"4/22/2022, 5:48:14 PM",3.655,84.2,70,18,2022-04-22T22:48:14.000Z
"4/22/2022, 5:51:14 PM",3.655,84,70,18,2022-04-22T22:51:14.000Z
"4/22/2022, 5:54:14 PM",3.655,84,70.2,18,2022-04-22T22:54:14.000Z
"4/22/2022, 5:57:14 PM",3.655,83.8,70.3,17,2022-04-22T22:57:14.000Z
"4/22/2022, 6:00:14 PM",3.655,83.8,70.4,15,2022-04-22T23:00:14.000Z
"4/22/2022, 6:03:14 PM",3.656,83.7,70.5,15,2022-04-22T23:03:14.000Z
"4/22/2022, 6:06:14 PM",3.656,83.5,70.5,15,2022-04-22T23:06:14.000Z
"4/22/2022, 6:09:14 PM",3.655,83.3,70.6,16,2022-04-22T23:09:14.000Z
"4/22/2022, 6:12:14 PM",3.655,83.1,70.7,16,2022-04-22T23:12:14.000Z
"4/22/2022, 6:15:14 PM",3.655,83.1,70.8,16,2022-04-22T23:15:14.000Z
"4/22/2022, 6:18:14 PM",3.656,82.9,70.8,15,2022-04-22T23:18:14.000Z
"4/22/2022, 6:21:14 PM",3.656,82.8,70.9,15,2022-04-22T23:21:14.000Z
"4/22/2022, 6:24:14 PM",3.656,82.6,71,15,2022-04-22T23:24:14.000Z
"4/22/2022, 6:27:14 PM",3.656,82.4,71.1,15,2022-04-22T23:27:14.000Z
"4/22/2022, 6:30:14 PM",3.655,82.4,71.1,14,2022-04-22T23:30:14.000Z
"4/22/2022, 6:33:14 PM",3.656,82.2,71.2,15,2022-04-22T23:33:14.000Z
"4/22/2022, 6:36:14 PM",3.656,82,71.2,15,2022-04-22T23:36:14.000Z
"4/22/2022, 6:39:14 PM",3.656,81.9,71.3,15,2022-04-22T23:39:14.000Z
"4/22/2022, 6:42:14 PM",3.656,81.7,71.3,15,2022-04-22T23:42:14.000Z
"4/22/2022, 6:45:14 PM",3.656,81.7,71.4,15,2022-04-22T23:45:14.000Z
"4/22/2022, 6:48:14 PM",3.656,81.5,71.5,15,2022-04-22T23:48:14.000Z
"4/22/2022, 6:51:14 PM",3.656,81.3,71.5,14,2022-04-22T23:51:14.000Z
"4/22/2022, 6:54:14 PM",3.656,81.1,71.5,15,2022-04-22T23:54:14.000Z
"4/22/2022, 6:57:14 PM",3.655,81,71.6,14,2022-04-22T23:57:14.000Z
"4/22/2022, 7:00:14 PM",3.656,81,71.6,14,2022-04-23T00:00:14.000Z
"4/22/2022, 7:03:14 PM",3.656,80.8,71.7,14,2022-04-23T00:03:14.000Z
"4/22/2022, 7:06:14 PM",3.656,80.6,71.7,14,2022-04-23T00:06:14.000Z
"4/22/2022, 7:09:14 PM",3.656,80.4,71.8,14,2022-04-23T00:09:14.000Z
"4/22/2022, 7:12:14 PM",3.656,80.2,71.8,14,2022-04-23T00:12:14.000Z
"4/22/2022, 7:15:14 PM",3.656,80.1,71.9,13,2022-04-23T00:15:14.000Z
"4/22/2022, 7:18:14 PM",3.656,80.1,72,13,2022-04-23T00:18:14.000Z
"4/22/2022, 7:21:14 PM",3.656,79.9,72,13,2022-04-23T00:21:14.000Z
"4/22/2022, 7:24:14 PM",3.656,79.7,72.1,13,2022-04-23T00:24:14.000Z
"4/22/2022, 7:27:14 PM",3.656,79.5,72.1,13,2022-04-23T00:27:14.000Z
"4/22/2022, 7:30:14 PM",3.656,79.3,72.2,13,2022-04-23T00:30:14.000Z
"4/22/2022, 7:33:14 PM",3.656,79.2,72.2,12,2022-04-23T00:33:14.000Z
"4/22/2022, 7:36:14 PM",3.656,79,72.3,12,2022-04-23T00:36:14.000Z
"4/22/2022, 7:39:14 PM",3.656,79,72.3,12,2022-04-23T00:39:14.000Z
"4/22/2022, 7:42:14 PM",3.656,79,72.4,12,2022-04-23T00:42:14.000Z
"4/22/2022, 7:45:14 PM",3.656,78.6,72.4,12,2022-04-23T00:45:14.000Z
"4/22/2022, 7:48:14 PM",3.656,78.4,72.5,12,2022-04-23T00:48:14.000Z
"4/22/2022, 7:51:14 PM",3.656,78.3,72.5,12,2022-04-23T00:51:14.000Z
"4/22/2022, 7:54:14 PM",3.657,78.3,72.6,12,2022-04-23T00:54:14.000Z
"4/22/2022, 7:57:14 PM",3.656,78.1,72.6,12,2022-04-23T00:57:14.000Z
"4/22/2022, 8:00:14 PM",3.656,77.9,72.7,12,2022-04-23T01:00:14.000Z
"4/22/2022, 8:03:14 PM",3.656,77.7,72.8,13,2022-04-23T01:03:14.000Z
"4/22/2022, 8:06:14 PM",3.656,77.7,72.8,13,2022-04-23T01:06:14.000Z
"4/22/2022, 8:09:14 PM",3.657,77.5,72.9,13,2022-04-23T01:09:14.000Z
"4/22/2022, 8:12:14 PM",3.656,77.4,73,12,2022-04-23T01:12:14.000Z
"4/22/2022, 8:15:14 PM",3.656,77.4,73,12,2022-04-23T01:15:14.000Z
"4/22/2022, 8:18:14 PM",3.656,77.2,73.1,12,2022-04-23T01:18:14.000Z
"4/22/2022, 8:21:14 PM",3.656,77.2,73.2,12,2022-04-23T01:21:14.000Z
"4/22/2022, 8:24:14 PM",3.657,77,73.2,12,2022-04-23T01:24:14.000Z
"4/22/2022, 8:27:14 PM",3.656,77,73.3,12,2022-04-23T01:27:14.000Z
