Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 2:37:27 AM",3.663,70.7,95,0,2024-06-11T06:37:27.000Z,,,,"6/8/2024, 1:42:27 AM",3.669,77.9,94.3,18,2024-06-08T05:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 2:42:27 AM",3.663,70.5,95.1,0,2024-06-11T06:42:27.000Z,,,,"6/8/2024, 1:45:27 AM",3.669,77.9,94.3,18,2024-06-08T05:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 2:47:27 AM",3.663,70.5,95.1,0,2024-06-11T06:47:27.000Z,,,,"6/8/2024, 1:48:27 AM",3.669,77.9,94.4,18,2024-06-08T05:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 2:52:27 AM",3.663,70.3,95.1,0,2024-06-11T06:52:27.000Z,,,,"6/8/2024, 1:51:27 AM",3.669,77.7,94.4,18,2024-06-08T05:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 2:57:27 AM",3.663,70.3,95.1,0,2024-06-11T06:57:27.000Z,,,,"6/8/2024, 1:54:27 AM",3.669,77.7,94.3,18,2024-06-08T05:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:02:27 AM",3.663,70.3,95.2,0,2024-06-11T07:02:27.000Z,,,,"6/8/2024, 1:57:27 AM",3.669,77.5,94.3,18,2024-06-08T05:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:07:27 AM",3.663,70.2,95.2,0,2024-06-11T07:07:27.000Z,,,,"6/8/2024, 2:00:27 AM",3.669,77.5,94.3,18,2024-06-08T06:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:12:27 AM",3.663,70.2,95.2,0,2024-06-11T07:12:27.000Z,,,,"6/8/2024, 2:03:27 AM",3.669,77.5,94.4,18,2024-06-08T06:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:17:27 AM",3.663,70.2,95.2,0,2024-06-11T07:17:27.000Z,,,,"6/8/2024, 2:06:27 AM",3.669,77.4,94.4,17,2024-06-08T06:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:22:27 AM",3.663,70,95.2,0,2024-06-11T07:22:27.000Z,,,,"6/8/2024, 2:09:27 AM",3.669,77.4,94.4,17,2024-06-08T06:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:27:27 AM",3.663,70,95.3,0,2024-06-11T07:27:27.000Z,,,,"6/8/2024, 2:12:27 AM",3.669,77.4,94.3,17,2024-06-08T06:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:32:27 AM",3.663,70,95.3,0,2024-06-11T07:32:27.000Z,,,,"6/8/2024, 2:15:27 AM",3.669,77.4,94.3,18,2024-06-08T06:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:37:27 AM",3.663,70,95.3,0,2024-06-11T07:37:27.000Z,,,,"6/8/2024, 2:18:27 AM",3.669,77.4,94.3,17,2024-06-08T06:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:42:27 AM",3.663,70,95.3,0,2024-06-11T07:42:27.000Z,,,,"6/8/2024, 2:21:27 AM",3.669,77.4,94.3,17,2024-06-08T06:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:47:27 AM",3.663,69.8,95.3,0,2024-06-11T07:47:27.000Z,,,,"6/8/2024, 2:24:27 AM",3.669,77.2,94.3,17,2024-06-08T06:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:52:27 AM",3.663,69.8,95.3,0,2024-06-11T07:52:27.000Z,,,,"6/8/2024, 2:27:27 AM",3.669,77.2,94.3,17,2024-06-08T06:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 3:57:27 AM",3.663,69.6,95.4,0,2024-06-11T07:57:27.000Z,,,,"6/8/2024, 2:30:27 AM",3.669,77.2,94.3,17,2024-06-08T06:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:02:27 AM",3.663,69.4,95.4,0,2024-06-11T08:02:27.000Z,,,,"6/8/2024, 2:33:27 AM",3.669,77.2,94.3,17,2024-06-08T06:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:07:27 AM",3.663,69.3,95.4,0,2024-06-11T08:07:27.000Z,,,,"6/8/2024, 2:36:27 AM",3.669,77.2,94.3,17,2024-06-08T06:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:12:27 AM",3.663,69.3,95.3,0,2024-06-11T08:12:27.000Z,,,,"6/8/2024, 2:39:27 AM",3.669,77.2,94.3,17,2024-06-08T06:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:17:27 AM",3.663,69.1,95.4,0,2024-06-11T08:17:27.000Z,,,,"6/8/2024, 2:42:27 AM",3.669,77.2,94.3,17,2024-06-08T06:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:22:27 AM",3.663,68.9,95.4,0,2024-06-11T08:22:27.000Z,,,,"6/8/2024, 2:45:27 AM",3.669,77.2,94.3,17,2024-06-08T06:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:27:27 AM",3.663,68.7,95.4,0,2024-06-11T08:27:27.000Z,,,,"6/8/2024, 2:48:27 AM",3.669,77,94.3,17,2024-06-08T06:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:32:27 AM",3.663,68.5,95.4,0,2024-06-11T08:32:27.000Z,,,,"6/8/2024, 2:51:27 AM",3.669,77,94.3,17,2024-06-08T06:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:37:27 AM",3.663,68.5,95.4,0,2024-06-11T08:37:27.000Z,,,,"6/8/2024, 2:54:27 AM",3.669,77,94.3,17,2024-06-08T06:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:42:27 AM",3.662,68.4,95.4,0,2024-06-11T08:42:27.000Z,,,,"6/8/2024, 2:57:27 AM",3.669,77,94.3,17,2024-06-08T06:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:47:27 AM",3.663,68.5,95.5,0,2024-06-11T08:47:27.000Z,,,,"6/8/2024, 3:00:27 AM",3.669,77,94.3,16,2024-06-08T07:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:52:27 AM",3.662,68.5,95.5,0,2024-06-11T08:52:27.000Z,,,,"6/8/2024, 3:03:27 AM",3.669,77,94.3,16,2024-06-08T07:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 4:57:27 AM",3.662,68.4,95.5,0,2024-06-11T08:57:27.000Z,,,,"6/8/2024, 3:06:27 AM",3.669,77,94.3,16,2024-06-08T07:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:02:27 AM",3.663,68.4,95.6,0,2024-06-11T09:02:27.000Z,,,,"6/8/2024, 3:09:27 AM",3.669,77,94.3,16,2024-06-08T07:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:07:27 AM",3.663,68.4,95.6,0,2024-06-11T09:07:27.000Z,,,,"6/8/2024, 3:12:27 AM",3.669,77,94.3,16,2024-06-08T07:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:12:27 AM",3.663,68.5,95.6,0,2024-06-11T09:12:27.000Z,,,,"6/8/2024, 3:15:27 AM",3.669,77,94.3,16,2024-06-08T07:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:17:27 AM",3.663,68.5,95.6,0,2024-06-11T09:17:27.000Z,,,,"6/8/2024, 3:18:27 AM",3.669,76.8,94.3,16,2024-06-08T07:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:22:27 AM",3.663,68.5,95.6,0,2024-06-11T09:22:27.000Z,,,,"6/8/2024, 3:21:27 AM",3.669,76.8,94.3,16,2024-06-08T07:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:27:27 AM",3.663,68.5,95.7,0,2024-06-11T09:27:27.000Z,,,,"6/8/2024, 3:24:27 AM",3.669,76.8,94.3,16,2024-06-08T07:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:32:27 AM",3.663,68.5,95.7,0,2024-06-11T09:32:27.000Z,,,,"6/8/2024, 3:27:27 AM",3.669,76.6,94.3,16,2024-06-08T07:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:37:27 AM",3.663,68.5,95.7,0,2024-06-11T09:37:27.000Z,,,,"6/8/2024, 3:30:27 AM",3.669,76.6,94.3,16,2024-06-08T07:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:42:27 AM",3.663,68.7,95.8,0,2024-06-11T09:42:27.000Z,,,,"6/8/2024, 3:33:27 AM",3.669,76.6,94.3,16,2024-06-08T07:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:47:27 AM",3.662,68.7,95.8,0,2024-06-11T09:47:27.000Z,,,,"6/8/2024, 3:36:27 AM",3.669,76.6,94.3,15,2024-06-08T07:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:52:27 AM",3.663,68.7,95.8,0,2024-06-11T09:52:27.000Z,,,,"6/8/2024, 3:39:27 AM",3.669,76.5,94.3,16,2024-06-08T07:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 5:57:27 AM",3.663,68.7,95.8,0,2024-06-11T09:57:27.000Z,,,,"6/8/2024, 3:42:27 AM",3.669,76.5,94.3,16,2024-06-08T07:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:02:27 AM",3.663,68.7,95.9,0,2024-06-11T10:02:27.000Z,,,,"6/8/2024, 3:45:27 AM",3.669,76.5,94.3,16,2024-06-08T07:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:07:27 AM",3.663,68.7,95.9,0,2024-06-11T10:07:27.000Z,,,,"6/8/2024, 3:48:27 AM",3.669,76.5,94.3,16,2024-06-08T07:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:12:27 AM",3.663,68.7,95.9,0,2024-06-11T10:12:27.000Z,,,,"6/8/2024, 3:51:27 AM",3.669,76.3,94.3,16,2024-06-08T07:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:17:27 AM",3.663,68.9,95.9,0,2024-06-11T10:17:27.000Z,,,,"6/8/2024, 3:54:27 AM",3.669,76.3,94.3,16,2024-06-08T07:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:22:27 AM",3.662,68.9,95.9,0,2024-06-11T10:22:27.000Z,,,,"6/8/2024, 3:57:27 AM",3.669,76.3,94.3,16,2024-06-08T07:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:27:27 AM",3.663,68.9,96,0,2024-06-11T10:27:27.000Z,,,,"6/8/2024, 4:00:27 AM",3.669,76.1,94.3,16,2024-06-08T08:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:32:27 AM",3.663,69.1,96,0,2024-06-11T10:32:27.000Z,,,,"6/8/2024, 4:03:27 AM",3.669,76.1,94.3,16,2024-06-08T08:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:37:27 AM",3.663,69.3,96,0,2024-06-11T10:37:27.000Z,,,,"6/8/2024, 4:06:27 AM",3.669,76.1,94.3,16,2024-06-08T08:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:42:27 AM",3.663,69.4,96.1,0,2024-06-11T10:42:27.000Z,,,,"6/8/2024, 4:09:27 AM",3.669,75.9,94.3,15,2024-06-08T08:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:47:27 AM",3.663,69.6,96.1,0,2024-06-11T10:47:27.000Z,,,,"6/8/2024, 4:12:27 AM",3.669,75.9,94.3,15,2024-06-08T08:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:52:27 AM",3.663,70,96.2,0,2024-06-11T10:52:27.000Z,,,,"6/8/2024, 4:15:27 AM",3.669,75.9,94.3,15,2024-06-08T08:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 6:57:27 AM",3.663,70.2,96.2,0,2024-06-11T10:57:27.000Z,,,,"6/8/2024, 4:18:27 AM",3.669,75.9,94.3,15,2024-06-08T08:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:02:27 AM",3.663,70.5,96.2,0,2024-06-11T11:02:27.000Z,,,,"6/8/2024, 4:21:27 AM",3.669,75.7,94.3,15,2024-06-08T08:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:07:27 AM",3.663,70.9,96.2,0,2024-06-11T11:07:27.000Z,,,,"6/8/2024, 4:24:27 AM",3.669,75.7,94.3,15,2024-06-08T08:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:12:27 AM",3.663,71.2,96.3,0,2024-06-11T11:12:27.000Z,,,,"6/8/2024, 4:27:27 AM",3.669,75.7,94.3,15,2024-06-08T08:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:17:27 AM",3.663,71.6,96.3,0,2024-06-11T11:17:27.000Z,,,,"6/8/2024, 4:30:27 AM",3.669,75.7,94.3,15,2024-06-08T08:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:22:27 AM",3.663,72,96.3,0,2024-06-11T11:22:27.000Z,,,,"6/8/2024, 4:33:27 AM",3.67,75.7,94.3,15,2024-06-08T08:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:27:27 AM",3.663,72.3,96.4,0,2024-06-11T11:27:27.000Z,,,,"6/8/2024, 4:36:27 AM",3.669,75.7,94.3,15,2024-06-08T08:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:32:27 AM",3.663,72.7,96.4,0,2024-06-11T11:32:27.000Z,,,,"6/8/2024, 4:39:27 AM",3.669,75.7,94.3,15,2024-06-08T08:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:37:27 AM",3.663,73,96.4,0,2024-06-11T11:37:27.000Z,,,,"6/8/2024, 4:42:27 AM",3.669,75.7,94.3,15,2024-06-08T08:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:42:27 AM",3.663,73.4,96.4,0,2024-06-11T11:42:27.000Z,,,,"6/8/2024, 4:45:27 AM",3.669,75.7,94.3,15,2024-06-08T08:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:47:27 AM",3.663,73.8,96.4,0,2024-06-11T11:47:27.000Z,,,,"6/8/2024, 4:48:27 AM",3.669,75.7,94.3,15,2024-06-08T08:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:52:27 AM",3.663,73.9,96.5,0,2024-06-11T11:52:27.000Z,,,,"6/8/2024, 4:51:27 AM",3.669,75.6,94.3,15,2024-06-08T08:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 7:57:27 AM",3.663,74.3,96.5,0,2024-06-11T11:57:27.000Z,,,,"6/8/2024, 4:54:27 AM",3.669,75.6,94.3,15,2024-06-08T08:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:02:27 AM",3.663,74.7,96.5,0,2024-06-11T12:02:27.000Z,,,,"6/8/2024, 4:57:27 AM",3.669,75.6,94.3,15,2024-06-08T08:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:07:27 AM",3.662,75,96.5,0,2024-06-11T12:07:27.000Z,,,,"6/8/2024, 5:00:27 AM",3.669,75.6,94.3,15,2024-06-08T09:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:12:27 AM",3.663,75.4,96.5,0,2024-06-11T12:12:27.000Z,,,,"6/8/2024, 5:03:27 AM",3.669,75.6,94.3,15,2024-06-08T09:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:17:27 AM",3.663,75.7,96.6,0,2024-06-11T12:17:27.000Z,,,,"6/8/2024, 5:06:27 AM",3.669,75.6,94.3,15,2024-06-08T09:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:22:27 AM",3.663,76.1,96.6,0,2024-06-11T12:22:27.000Z,,,,"6/8/2024, 5:09:27 AM",3.669,75.4,94.3,15,2024-06-08T09:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:27:27 AM",3.662,76.3,96.6,0,2024-06-11T12:27:27.000Z,,,,"6/8/2024, 5:12:27 AM",3.669,75.4,94.3,15,2024-06-08T09:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:32:27 AM",3.663,76.6,96.6,0,2024-06-11T12:32:27.000Z,,,,"6/8/2024, 5:15:27 AM",3.669,75.4,94.3,15,2024-06-08T09:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:37:27 AM",3.662,77,96.6,0,2024-06-11T12:37:27.000Z,,,,"6/8/2024, 5:18:27 AM",3.669,75.4,94.3,15,2024-06-08T09:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:42:27 AM",3.662,77.4,96.6,0,2024-06-11T12:42:27.000Z,,,,"6/8/2024, 5:21:27 AM",3.669,75.4,94.3,14,2024-06-08T09:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:47:27 AM",3.662,77.7,96.7,0,2024-06-11T12:47:27.000Z,,,,"6/8/2024, 5:24:27 AM",3.669,75.4,94.3,14,2024-06-08T09:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:52:27 AM",3.662,78.1,96.7,0,2024-06-11T12:52:27.000Z,,,,"6/8/2024, 5:27:27 AM",3.669,75.4,94.3,14,2024-06-08T09:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 8:57:27 AM",3.663,78.6,96.7,0,2024-06-11T12:57:27.000Z,,,,"6/8/2024, 5:30:27 AM",3.669,75.4,94.3,14,2024-06-08T09:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:02:27 AM",3.663,79,96.8,0,2024-06-11T13:02:27.000Z,,,,"6/8/2024, 5:33:27 AM",3.669,75.4,94.3,14,2024-06-08T09:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:07:27 AM",3.662,79.5,96.8,0,2024-06-11T13:07:27.000Z,,,,"6/8/2024, 5:36:27 AM",3.669,75.4,94.4,14,2024-06-08T09:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:12:27 AM",3.662,80.1,96.8,0,2024-06-11T13:12:27.000Z,,,,"6/8/2024, 5:39:27 AM",3.669,75.4,94.4,14,2024-06-08T09:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:17:27 AM",3.662,80.6,96.9,0,2024-06-11T13:17:27.000Z,,,,"6/8/2024, 5:42:27 AM",3.669,75.4,94.4,14,2024-06-08T09:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:22:27 AM",3.663,81.3,96.9,0,2024-06-11T13:22:27.000Z,,,,"6/8/2024, 5:45:27 AM",3.669,75.4,94.4,14,2024-06-08T09:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:27:27 AM",3.662,81.9,96.9,0,2024-06-11T13:27:27.000Z,,,,"6/8/2024, 5:48:27 AM",3.669,75.4,94.4,14,2024-06-08T09:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:32:27 AM",3.662,82.4,96.9,0,2024-06-11T13:32:27.000Z,,,,"6/8/2024, 5:51:27 AM",3.669,75.2,94.4,14,2024-06-08T09:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:37:27 AM",3.662,83.1,97,0,2024-06-11T13:37:27.000Z,,,,"6/8/2024, 5:54:27 AM",3.669,75.2,94.4,14,2024-06-08T09:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:42:27 AM",3.662,83.8,97,0,2024-06-11T13:42:27.000Z,,,,"6/8/2024, 5:57:27 AM",3.669,75.2,94.4,14,2024-06-08T09:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:47:27 AM",3.662,84.4,97,0,2024-06-11T13:47:27.000Z,,,,"6/8/2024, 6:00:27 AM",3.669,75.2,94.4,14,2024-06-08T10:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:52:27 AM",3.662,84.9,97,0,2024-06-11T13:52:27.000Z,,,,"6/8/2024, 6:03:27 AM",3.669,75.2,94.3,14,2024-06-08T10:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 9:57:27 AM",3.662,85.3,97,0,2024-06-11T13:57:27.000Z,,,,"6/8/2024, 6:06:27 AM",3.669,75.2,94.3,14,2024-06-08T10:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:02:27 AM",3.662,85.8,96.9,0,2024-06-11T14:02:27.000Z,,,,"6/8/2024, 6:09:27 AM",3.669,75.2,94.3,13,2024-06-08T10:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:07:27 AM",3.661,86.2,97,0,2024-06-11T14:07:27.000Z,,,,"6/8/2024, 6:12:27 AM",3.669,75.2,94.3,13,2024-06-08T10:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:12:27 AM",3.661,86.7,97,0,2024-06-11T14:12:27.000Z,,,,"6/8/2024, 6:15:27 AM",3.669,75.2,94.4,13,2024-06-08T10:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:17:27 AM",3.661,87.3,97,0,2024-06-11T14:17:27.000Z,,,,"6/8/2024, 6:18:27 AM",3.669,75.2,94.4,13,2024-06-08T10:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:22:27 AM",3.662,87.8,97,0,2024-06-11T14:22:27.000Z,,,,"6/8/2024, 6:21:27 AM",3.669,75.4,94.4,13,2024-06-08T10:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:27:27 AM",3.661,88.3,97,0,2024-06-11T14:27:27.000Z,,,,"6/8/2024, 6:24:27 AM",3.669,75.4,94.4,13,2024-06-08T10:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:32:27 AM",3.661,88.7,97,0,2024-06-11T14:32:27.000Z,,,,"6/8/2024, 6:27:27 AM",3.668,75.4,94.4,13,2024-06-08T10:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:37:27 AM",3.661,89.1,96.9,0,2024-06-11T14:37:27.000Z,,,,"6/8/2024, 6:30:27 AM",3.669,75.6,94.4,13,2024-06-08T10:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:42:27 AM",3.661,89.2,96.9,0,2024-06-11T14:42:27.000Z,,,,"6/8/2024, 6:33:27 AM",3.669,75.6,94.4,13,2024-06-08T10:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:47:27 AM",3.661,89.6,96.9,0,2024-06-11T14:47:27.000Z,,,,"6/8/2024, 6:36:27 AM",3.669,75.7,94.5,13,2024-06-08T10:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:52:27 AM",3.661,90,96.9,0,2024-06-11T14:52:27.000Z,,,,"6/8/2024, 6:39:27 AM",3.668,75.7,94.5,13,2024-06-08T10:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 10:57:27 AM",3.661,90.1,96.9,0,2024-06-11T14:57:27.000Z,,,,"6/8/2024, 6:42:27 AM",3.668,75.9,94.5,13,2024-06-08T10:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:02:27 AM",3.661,90.5,96.8,0,2024-06-11T15:02:27.000Z,,,,"6/8/2024, 6:45:27 AM",3.669,75.9,94.5,13,2024-06-08T10:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:07:27 AM",3.66,90.7,96.8,0,2024-06-11T15:07:27.000Z,,,,"6/8/2024, 6:48:27 AM",3.669,76.1,94.5,14,2024-06-08T10:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:12:27 AM",3.66,91,96.8,0,2024-06-11T15:12:27.000Z,,,,"6/8/2024, 6:51:27 AM",3.669,76.3,94.5,14,2024-06-08T10:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:17:27 AM",3.66,91.2,96.8,0,2024-06-11T15:17:27.000Z,,,,"6/8/2024, 6:54:27 AM",3.669,76.5,94.5,14,2024-06-08T10:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:22:27 AM",3.661,91.6,96.8,0,2024-06-11T15:22:27.000Z,,,,"6/8/2024, 6:57:27 AM",3.668,76.6,94.6,14,2024-06-08T10:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:27:27 AM",3.661,91.8,96.8,0,2024-06-11T15:27:27.000Z,,,,"6/8/2024, 7:00:27 AM",3.668,76.8,94.7,14,2024-06-08T11:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:32:27 AM",3.661,92.1,96.8,0,2024-06-11T15:32:27.000Z,,,,"6/8/2024, 7:03:27 AM",3.668,77,94.6,14,2024-06-08T11:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:37:27 AM",3.661,92.3,96.8,0,2024-06-11T15:37:27.000Z,,,,"6/8/2024, 7:06:27 AM",3.669,77.2,94.7,14,2024-06-08T11:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:42:27 AM",3.66,92.5,96.7,0,2024-06-11T15:42:27.000Z,,,,"6/8/2024, 7:09:27 AM",3.668,77.4,94.7,14,2024-06-08T11:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/11/2024, 11:47:27 AM",3.66,92.7,96.7,0,2024-06-11T15:47:27.000Z,,,,"6/8/2024, 7:12:27 AM",3.668,77.5,94.7,14,2024-06-08T11:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
