Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:02:27 PM",3.648,102.4,74.1,0,2024-06-03T18:02:27.000Z,,,,"6/3/2024, 1:21:27 PM",3.654,93.9,86.3,39,2024-06-03T17:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:07:27 PM",3.648,102.7,73.9,0,2024-06-03T18:07:27.000Z,,,,"6/3/2024, 1:24:27 PM",3.654,94.1,86.3,40,2024-06-03T17:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:12:27 PM",3.648,103.1,73.7,0,2024-06-03T18:12:27.000Z,,,,"6/3/2024, 1:27:27 PM",3.655,94.3,86.4,40,2024-06-03T17:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:17:27 PM",3.648,103.5,73.5,0,2024-06-03T18:17:27.000Z,,,,"6/3/2024, 1:30:27 PM",3.654,94.5,86.4,40,2024-06-03T17:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:22:27 PM",3.649,103.6,73.3,1,2024-06-03T18:22:27.000Z,,,,"6/3/2024, 1:33:27 PM",3.654,94.6,86.5,40,2024-06-03T17:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:27:27 PM",3.648,104,73.2,1,2024-06-03T18:27:27.000Z,,,,"6/3/2024, 1:36:27 PM",3.654,94.8,86.6,41,2024-06-03T17:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:32:27 PM",3.649,104.2,73,0,2024-06-03T18:32:27.000Z,,,,"6/3/2024, 1:39:27 PM",3.654,95,86.6,42,2024-06-03T17:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:37:27 PM",3.648,104.5,72.8,1,2024-06-03T18:37:27.000Z,,,,"6/3/2024, 1:42:27 PM",3.654,95.4,86.7,42,2024-06-03T17:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:42:27 PM",3.649,104.5,72.7,1,2024-06-03T18:42:27.000Z,,,,"6/3/2024, 1:45:27 PM",3.654,95.7,86.7,42,2024-06-03T17:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:47:27 PM",3.648,104.2,72.5,1,2024-06-03T18:47:27.000Z,,,,"6/3/2024, 1:48:27 PM",3.654,96.1,86.9,43,2024-06-03T17:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:52:27 PM",3.648,104.4,72.4,0,2024-06-03T18:52:27.000Z,,,,"6/3/2024, 1:51:27 PM",3.654,96.3,87,43,2024-06-03T17:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 2:57:27 PM",3.649,103.8,72.3,1,2024-06-03T18:57:27.000Z,,,,"6/3/2024, 1:54:27 PM",3.654,96.6,87,42,2024-06-03T17:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:02:27 PM",3.649,103.8,72.3,0,2024-06-03T19:02:27.000Z,,,,"6/3/2024, 1:57:27 PM",3.654,96.8,87.1,42,2024-06-03T17:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:07:27 PM",3.649,104.2,72.1,1,2024-06-03T19:07:27.000Z,,,,"6/3/2024, 2:00:27 PM",3.654,97,87.1,42,2024-06-03T18:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:12:27 PM",3.649,104.5,72.1,1,2024-06-03T19:12:27.000Z,,,,"6/3/2024, 2:03:27 PM",3.654,97.2,87.2,41,2024-06-03T18:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:17:27 PM",3.649,105.1,72.1,0,2024-06-03T19:17:27.000Z,,,,"6/3/2024, 2:06:27 PM",3.654,97.2,87.2,40,2024-06-03T18:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:22:27 PM",3.649,105.6,72.1,1,2024-06-03T19:22:27.000Z,,,,"6/3/2024, 2:09:27 PM",3.654,97.3,87.3,40,2024-06-03T18:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:27:27 PM",3.648,106,72.1,1,2024-06-03T19:27:27.000Z,,,,"6/3/2024, 2:12:27 PM",3.654,97.5,87.3,40,2024-06-03T18:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:32:27 PM",3.649,105.8,71.9,1,2024-06-03T19:32:27.000Z,,,,"6/3/2024, 2:15:27 PM",3.654,97.9,87.3,40,2024-06-03T18:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:37:27 PM",3.649,105.8,71.7,1,2024-06-03T19:37:27.000Z,,,,"6/3/2024, 2:18:27 PM",3.654,97.9,87.4,39,2024-06-03T18:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:42:27 PM",3.649,104.9,71.4,1,2024-06-03T19:42:27.000Z,,,,"6/3/2024, 2:21:27 PM",3.654,98.2,87.4,39,2024-06-03T18:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:47:27 PM",3.649,105.1,71.2,1,2024-06-03T19:47:27.000Z,,,,"6/3/2024, 2:24:27 PM",3.654,98.4,87.5,39,2024-06-03T18:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:52:27 PM",3.649,105.4,71,0,2024-06-03T19:52:27.000Z,,,,"6/3/2024, 2:27:27 PM",3.654,98.6,87.6,39,2024-06-03T18:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 3:57:27 PM",3.649,105.1,71,0,2024-06-03T19:57:27.000Z,,,,"6/3/2024, 2:30:27 PM",3.655,98.8,87.6,38,2024-06-03T18:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:02:27 PM",3.65,105.1,70.9,0,2024-06-03T20:02:27.000Z,,,,"6/3/2024, 2:33:27 PM",3.654,98.8,87.7,38,2024-06-03T18:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:07:27 PM",3.65,104.7,70.8,0,2024-06-03T20:07:27.000Z,,,,"6/3/2024, 2:36:27 PM",3.655,99,87.7,38,2024-06-03T18:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:12:27 PM",3.65,104.5,70.8,0,2024-06-03T20:12:27.000Z,,,,"6/3/2024, 2:39:27 PM",3.654,99.1,87.8,38,2024-06-03T18:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:17:27 PM",3.65,104.9,70.9,0,2024-06-03T20:17:27.000Z,,,,"6/3/2024, 2:42:27 PM",3.654,99.5,87.8,38,2024-06-03T18:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:22:27 PM",3.651,105.8,70.7,0,2024-06-03T20:22:27.000Z,,,,"6/3/2024, 2:45:27 PM",3.655,99.5,87.9,37,2024-06-03T18:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:27:27 PM",3.65,106.3,70.6,0,2024-06-03T20:27:27.000Z,,,,"6/3/2024, 2:48:27 PM",3.654,99.5,87.9,38,2024-06-03T18:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:32:27 PM",3.65,106.5,70.5,0,2024-06-03T20:32:27.000Z,,,,"6/3/2024, 2:51:27 PM",3.655,99.5,88,38,2024-06-03T18:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
